Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,loan_officer_id
18000,2016-07-01,debt_consolidation,695,36.81,708xx,LA,< 1 year,4
10000,2016-07-01,debt_consolidation,696,20.83,712xx,LA,< 1 year,1
7000,2016-07-01,debt_consolidation,697,22.23,923xx,CA,< 1 year,2
8500,2016-07-01,other,698,0,921xx,CA,< 1 year,3
10000,2016-07-01,debt_consolidation,699,12.54,631xx,MO,5 years,4
1000,2016-07-01,credit_card,700,2.25,275xx,NC,5 years,1
5000,2016-07-01,Debt consolidation,701,26.07,278xx,NC,3 years,2
10000,2016-07-01,other,702,34.9,112xx,NY,5 years,3
1500,2016-07-01,other,703,11.89,300xx,GA,5 years,4
1000,2016-07-01,debt_consolidation,704,10.92,906xx,CA,< 1 year,1
1000,2016-07-01,major_purchase,705,13.84,431xx,OH,< 1 year,2
30000,2016-07-01,credit_card,706,38.51,328xx,FL,< 1 year,3
18000,2016-07-01,other,707,0.05,997xx,AK,n/a,4
1000,2016-07-01,other,708,20.79,328xx,FL,< 1 year,1
1000,2016-07-01,car,709,26.19,196xx,PA,< 1 year,2
17000,2016-07-01,debt_consolidation,710,55.63,330xx,FL,< 1 year,3
1200,2016-07-01,debt_consolidation,711,2.71,450xx,OH,5 years,4
5000,2016-07-01,debt_consolidation,712,39.88,945xx,CA,< 1 year,1
10000,2016-07-01,debt_consolidation,713,33.72,564xx,MN,< 1 year,2
1000,2016-07-01,major_purchase,714,23.62,751xx,TX,< 1 year,3
5000,2016-07-01,other,715,7.74,112xx,NY,< 1 year,4
5000,2016-07-01,credit_card,716,20.76,920xx,CA,< 1 year,1
4600,2016-07-01,debt_consolidation,717,20.51,857xx,AZ,5 years,2
10000,2016-07-01,other,718,0.95,107xx,NY,< 1 year,3
15000,2016-07-01,debt_consolidation,719,52.2,723xx,AR,< 1 year,4
16000,2016-07-01,car,720,31.41,956xx,CA,< 1 year,1
5000,2016-07-01,debt_consolidation,721,31.77,330xx,FL,5 years,2
5000,2016-07-01,debt_consolidation,722,36.53,785xx,TX,< 1 year,3
17000,2016-07-01,credit_card,723,51.03,439xx,OH,< 1 year,4
25000,2016-07-01,house,724,54.68,922xx,CA,< 1 year,1
15000,2016-07-01,debt_consolidation,725,39.6,925xx,CA,< 1 year,2
20000,2016-07-01,other,726,-1,300xx,GA,< 1 year,3
35000,2016-07-01,debt_consolidation,727,20.36,298xx,SC,5 years,4
1000,2016-07-01,moving,728,22.81,768xx,TX,< 1 year,1
3000,2016-07-01,car,729,31.66,564xx,MN,< 1 year,2
10000,2016-07-01,debt_consolidation,730,28.19,170xx,PA,< 1 year,3
3000,2016-07-01,other,731,1.34,703xx,LA,< 1 year,4
10000,2016-07-01,debt_consolidation,732,0.79,926xx,CA,5 years,1
20000,2016-07-01,debt_consolidation,733,5.04,394xx,MS,< 1 year,2
6000,2016-07-01,debt_consolidation,734,50.05,393xx,MS,< 1 year,3
